,SalaryUSD,Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,PopulationOfLargestCityWithin20Miles,EmploymentSector,CareerPlansThisYear,Gender,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,TelecommuteDaysPerWeek
3885,High,USA,M,8,E,DBAG,N,5,3.0,2,C,PB,S,M,23.0,Bachelors (4 years),Yes,YesExpired,45.0,four
3886,Very Low,India,M,7,E,DT,N,2,3.0,3,C,PB,SR,M,10.0,Masters,Yes,N,45.0,zero
3887,Very High,USA,M,15,E,DBAP,N,15,3.0,2,m,PB,C,M,30.0,Masters,Yes,YesExpired,45.0,zero
3888,Very High,USA,M,10,E,DBAG,N,10,2.0,0,m,FG,S,M,60.0,None (no degree completed),,YesValid,40.0,five
3889,Mid,USA,M,18,E,E,N,4,1.0,2,m,PB,C,M,10.0,Bachelors (4 years),No,YesValid,40.0,two
3890,Very Low,Ukraine,M,15,EC,DBAP,N,2,3.0,0,C,PB,S,M,15.0,Masters,Yes,YesValid,40.0,five
3891,Very High,USA,M,18,E,A,Y,13,2.0,1,T,PB,C,F,0.0,Bachelors (4 years),No,N,45.0,zero
3892,Low,Sweden,M,13,EC,DBAG,N,13,3.0,0,m,PB,,M,6.0,Masters,No,N,40.0,zero
3893,Very High,New-Zealand,M,20,IC,DBAD,N,1,6.0,1,C,PB,SR,M,6.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
3894,Very Low,New-Zealand,M,8,E,DBAD,N,8,1.0,0,T,E,S,M,8.0,Bachelors (4 years),Yes,YesValid,60.0,zero
3895,Mid,USA,M,4,E,DBAP,Y,1,3.0,6,m,PB,S,M,1000.0,Associates (2 years),Yes,YesValid,40.0,five
3896,Very Low,Ukraine,M,6,E,DBAG,N,10,4.0,0,c,PB,,M,10.0,Masters,Yes,N,42.0,zero
3897,Very Low,Greece,M,5,E,DBAG,Y,20,2.0,1,c,PB,SE,M,10.0,Masters,Yes,N,40.0,zero
3898,Low,USA,M,7,E,DBAG,N,7,3.0,2,C,PB,S,M,150.0,Bachelors (4 years),Yes,YesValid,42.0,zero
3899,Low,USA,M,5,E,DBAG,N,1,1.0,4,c,PB,S,M,120.0,Bachelors (4 years),Yes,YesValid,45.0,one
3900,Low,USA,M,4,E,DA,N,4,2.0,5,C,PB,SR,M,5.0,Bachelors (4 years),Yes,YesValid,50.0,zero
3901,Mid,USA,M,15,E,D,N,10,5.0,0,C,PB,SR,F,1.0,Bachelors (4 years),Yes,N,40.0,two
3902,Very High,USA,M,15,E,M,Y,10,2.0,3,m,PB,,M,180.0,Masters,Yes,YesExpired,50.0,three
3903,High,USA,M,9,E,DBAP,N,23,3.0,1,c,PB,S,M,200.0,None (no degree completed),,N,42.0,five
3904,High,USA,M,7,EC,DBAG,N,5,3.0,1,m,PB,S,M,20.0,None (no degree completed),,N,40.0,one
3905,Mid,USA,M,7,E,,N,7,1.0,0,C,PB,,F,5.0,Masters,Yes,N,41.0,zero
3906,Mid,USA,M,10,E,DT,N,10,4.0,1,T,PB,S,M,10.0,Masters,Yes,YesValid,45.0,five
3907,High,USA,M,5,E,DBAG,N,6,5.0,0,m,PB,SE,M,20.0,None (no degree completed),,YesValid,50.0,zero
3908,Very High,USA,M,15,E,,Y,10,2.0,0,m,PB,S,M,50.0,Bachelors (4 years),No,N,65.0,five
3909,High,USA,O,5,E,D,N,6,3.0,2,m,FG,SR,M,30.0,Bachelors (4 years),No,YesValid,40.0,five
3910,Very High,USA,M,20,E,A,N,30,3.0,0,m,PB,SR,M,30.0,None (no degree completed),No,N,50.0,five
3911,Mid,USA,M,20,E,DT,N,6,2.0,5,m,PB,S,M,15.0,Bachelors (4 years),Yes,YesExpired,40.0,zero
3912,Mid,USA,M,5,E,,N,15,3.0,1,m,PB,S,M,5.0,Bachelors (4 years),Yes,YesExpired,45.0,zero
3913,Low,USA,M,2,E,DBAP,N,2,2.0,1,C,PB,S,M,70.0,Bachelors (4 years),Yes,YesValid,48.0,one
3914,Very Low,USA,M,1,E,DBAG,N,1,5.0,0,T,SG,S,M,100.0,Associates (2 years),Yes,N,40.0,zero
3915,High,USA,M,18,E,DBAG,N,22,3.0,0,c,PB,S,F,70.0,Bachelors (4 years),Yes,YesExpired,45.0,one
3916,High,USA,M,13,EC,D,N,8,3.0,2,C,PB,S,M,2.0,Bachelors (4 years),Yes,YesValid,44.0,five
3917,High,USA,M,15,E,DBAG,N,15,5.0,0,m,PB,SE,F,8.0,Bachelors (4 years),Yes,YesExpired,50.0,one
3918,High,USA,M,15,E,DBAG,N,3,4.0,2,m,PB,S,M,120.0,Masters,No,N,49.0,two
3919,Low,Guernsey,M,10,E,DBAG,N,1,2.0,0,t,PB,S,M,70.0,Bachelors (4 years),Yes,YesExpired,36.0,zero
3920,Mid,Germany,M,8,E,DBAP,N,8,1.0,1,m,PB,S,M,350.0,None (no degree completed),,N,38.0,zero
3921,Very High,Israel,M,7,E,DBAD,N,10,2.0,0,m,PB,SR,M,10.0,Bachelors (4 years),Yes,N,45.0,zero
3922,Very High,USA,M,25,E,DBAG,N,20,2.0,1,T,PB,S,M,125.0,Bachelors (4 years),No,N,44.0,zero
3923,Very Low,USA,M,10,E,DBAG,N,11,1.0,1,T,E,SE,F,75.0,Masters,Yes,YesValid,40.0,two
3924,Very High,USA,M,24,IC,A,Y,24,6.0,3,t,PB,,M,8.0,None (no degree completed),,N,40.0,four
3925,High,USA,M,15,E,DBAG,N,22,1.0,0,c,PB,SR,M,45.0,Bachelors (4 years),Yes,N,40.0,one
3926,Mid,Germany,M,13,E,D,N,8,2.0,3,C,PB,S,M,20.0,Masters,Yes,YesValid,40.0,zero
3927,High,USA,M,5,E,D,N,1,1.0,3,C,PB,SR,M,20.0,Bachelors (4 years),Yes,N,32.0,zero
3928,Very High,USA,M,18,IC,DBAD,N,3,3.0,6,m,PB,S,M,30.0,Masters,Yes,N,40.0,one
3929,Low,USA,M,12,E,D,N,10,2.0,1,T,PB,S,M,15.0,None (no degree completed),,YesExpired,40.0,five
3930,Very Low,UK,M,20,E,DBAG,N,27,1.0,1,C,FG,S,F,50.0,None (no degree completed),,N,40.0,zero
3931,Mid,Netherlands,M,5,EC,DT,N,18,2.0,2,C,PB,S,,12.0,None (no degree completed),,YesValid,40.0,zero
3932,Mid,Australia,M,15,E,DBAP,N,13,3.0,1,t,PB,S,M,100.0,None (no degree completed),,YesExpired,50.0,five
3933,High,USA,M,18,E,D,N,18,3.0,2,C,PB,SR,M,5.0,Bachelors (4 years),Yes,YesValid,40.0,five
3934,Mid,USA,M,9,E,DBAG,N,8,2.0,3,C,PB,S,M,500.0,Masters,Yes,N,40.0,zero
3935,Low,USA,M,17,E,M,Y,18,1.0,0,T,PB,S,F,3.0,Bachelors (4 years),No,N,41.0,one
3936,Very High,USA,M,17,EC,DBAG,N,15,2.0,6,C,PB,S,M,500.0,None (no degree completed),,N,45.0,five
3937,Mid,USA,M,16,IC,DT,N,2,2.0,3,C,PB,SR,M,6.0,Bachelors (4 years),Yes,N,40.0,one
3938,Very High,USA,M,24,E,M,Y,10,2.0,0,c,PB,SE,M,500.0,Masters,Yes,YesExpired,45.0,one
3939,Mid,USA,M,8,E,DBAP,N,8,1.0,6,T,PB,S,M,136.0,Bachelors (4 years),Yes,YesExpired,45.0,four
3940,High,USA,M,8,EC,E,Y,2,1.0,1,c,FG,C,M,30.0,None (no degree completed),,YesValid,50.0,zero
3941,Very Low,USA,M,1,E,AN,N,1,1.0,0,T,PB,S,F,3.0,Associates (2 years),No,N,40.0,zero
3942,High,USA,M,10,E,DBAP,N,4,1.0,5,C,SG,S,M,350.0,Masters,No,N,45.0,zero
3943,High,USA,M,20,E,DT,N,20,6.0,0,m,PB,S,M,1.0,Bachelors (4 years),No,N,40.0,two
3944,Very Low,USA,M,1,E,AN,N,1,1.0,0,T,PB,S,F,3.0,Associates (2 years),No,N,40.0,zero
3945,Low,USA,M,9,E,DT,N,1,2.0,1,m,PB,S,M,6.0,Bachelors (4 years),Yes,YesValid,40.0,zero
3946,Very High,USA,M,18,E,DBAG,Y,17,2.0,0,m,PB,S,M,20.0,Bachelors (4 years),Yes,N,45.0,zero
3947,Mid,USA,M,5,E,DBAP,N,5,2.0,6,c,PB,S,M,200.0,Bachelors (4 years),Yes,N,41.0,five
3948,Very High,USA,M,14,E,A,N,15,3.0,1,m,PB,SE,M,500.0,None (no degree completed),,YesValid,60.0,one
3949,Low,USA,O,15,E,AN,N,15,4.0,6,c,PB,,M,8.0,Associates (2 years),Yes,YesValid,40.0,five
3950,Low,Australia,O,5,E,AN,Y,5,2.0,2,m,PB,S,M,1.0,None (no degree completed),,N,38.0,zero
3951,High,USA,M,7,E,DBAG,N,1,3.0,6,T,PB,S,M,100.0,None (no degree completed),No,YesValid,40.0,two
3952,Very High,Switzerland,M,9,E,DT,N,4,2.0,0,C,PB,SE,,10.0,Masters,Yes,YesValid,45.0,zero
3953,Very High,USA,M,5,E,M,N,6,1.0,0,m,PB,SE,M,100.0,Bachelors (4 years),Yes,N,50.0,one
3954,Very Low,USA,M,1,E,DBAG,N,1,1.0,6,C,PB,SR,M,450.0,Bachelors (4 years),Yes,N,40.0,one
3955,Very Low,New-Zealand,M,7,E,DBAP,Y,8,1.0,4,T,PB,S,M,1.0,Bachelors (4 years),,YesExpired,38.0,zero
3956,Mid,USA,M,9,E,DBAG,N,3,2.0,4,C,PB,S,M,25.0,Bachelors (4 years),Yes,N,40.0,two
3957,High,USA,M,7,E,D,N,15,3.0,2,c,PB,SE,M,10.0,Bachelors (4 years),Yes,YesValid,40.0,zero
3958,Low,USA,M,4,E,DA,Y,4,1.0,0,c,PB,S,M,12.0,Bachelors (4 years),Yes,N,45.0,zero
3959,Low,Canada,M,20,E,DBAG,N,1,2.0,2,m,PB,S,M,15.0,Associates (2 years),Yes,N,40.0,one
3960,Very Low,USA,M,2,EC,,N,2,1.0,6,m,PB,S,M,1000.0,Bachelors (4 years),Yes,YesValid,45.0,five
3961,Low,USA,M,4,E,DA,Y,4,1.0,2,C,PB,SE,M,8.0,Associates (2 years),Yes,N,37.0,one
3962,Very High,USA,M,15,E,DBAG,Y,3,2.0,1,m,PB,SE,M,50.0,Masters,Yes,YesValid,50.0,one
3963,Mid,USA,M,15,E,DBAG,N,3,2.0,2,m,PB,SE,M,150.0,None (no degree completed),,N,50.0,one
3964,Very Low,USA,P,2,E,AN,Y,3,2.0,2,m,PB,,M,12.0,Bachelors (4 years),No,N,60.0,zero
3965,Low,USA,M,4,E,DT,N,4,3.0,1,c,PB,SE,M,300.0,Bachelors (4 years),Yes,YesValid,20.0,one
3966,Very High,USA,M,25,E,DBAG,N,5,6.0,4,C,PB,S,M,100.0,Bachelors (4 years),Yes,YesExpired,40.0,three
3967,Low,USA,RDS,3,E,AN,N,4,3.0,2,m,PB,SR,M,1.0,Bachelors (4 years),No,N,50.0,one
3968,Mid,USA,O,6,E,DBAG,N,6,1.0,1,m,PB,SR,M,9.0,Masters,Yes,YesValid,45.0,zero
3969,Very High,USA,M,18,E,A,N,22,6.0,0,m,PB,C,M,4.0,Masters,No,N,46.0,zero
3970,Low,USA,M,4,EC,A,N,3,2.0,0,m,NP,SR,M,4.0,Bachelors (4 years),Yes,N,43.0,zero
3971,Low,USA,M,3,E,D,N,2,2.0,1,t,PB,S,M,10.0,Masters,No,N,45.0,five
3972,Low,USA,O,4,E,DA,Y,4,1.0,3,m,PB,S,M,4.0,Bachelors (4 years),Yes,N,50.0,one
3973,Low,USA,M,3,E,AN,N,1,1.0,0,m,PB,C,M,4.0,None (no degree completed),,N,40.0,zero
3974,Very High,USA,M,13,E,A,N,13,3.0,1,m,PB,,M,10.0,None (no degree completed),,N,40.0,one
3975,Mid,USA,M,9,E,DBAG,N,2,2.0,0,m,NP,S,M,15.0,None (no degree completed),,N,50.0,two
3976,Very High,USA,M,16,E,DBAG,Y,5,2.0,0,T,PB,S,M,26.0,Bachelors (4 years),Yes,N,55.0,one
3977,High,USA,M,20,E,DBAG,N,20,2.0,1,m,PB,S,M,30.0,Associates (2 years),Yes,N,50.0,zero
3978,Very High,USA,M,3,E,DA,Y,10,3.0,4,m,PB,S,M,50.0,Masters,Yes,N,45.0,one
3979,Mid,USA,,1,E,E,N,1,1.0,6,m,PB,S,M,8.0,Bachelors (4 years),,N,45.0,one
3980,Very High,USA,M,10,E,DBAD,N,7,2.0,1,C,PB,S,M,12.0,Bachelors (4 years),Yes,N,40.0,zero
3981,High,USA,M,13,E,DBAP,N,8,3.0,0,C,PB,S,M,40.0,Bachelors (4 years),Yes,N,40.0,zero
3982,Low,USA,,3,E,AN,N,1,2.0,6,c,PB,SE,M,3.0,Masters,No,N,45.0,zero
3983,Low,USA,M,5,E,A,N,1,1.0,3,c,NP,SR,M,10.0,Associates (2 years),No,N,40.0,zero
3984,High,USA,M,12,E,A,N,12,3.0,0,C,PB,S,M,15.0,Bachelors (4 years),Yes,YesExpired,40.0,two
3985,Mid,USA,M,3,E,DBAG,Y,3,1.0,6,c,PB,S,M,150.0,Bachelors (4 years),Yes,YesValid,50.0,zero
3986,Very High,USA,M,16,IC,A,N,16,2.0,0,T,PB,S,M,8.0,Bachelors (4 years),Yes,N,40.0,five
3987,High,Denmark,M,12,E,DT,N,12,1.0,0,m,PB,S,M,4.0,Bachelors (4 years),Yes,N,37.0,zero
3988,Low,USA,M,5,E,DT,N,5,1.0,6,C,PB,S,M,4.0,Bachelors (4 years),No,N,38.0,zero
3989,High,USA,DB2,5,E,M,Y,1,1.0,3,C,PB,,M,5.0,Bachelors (4 years),No,N,50.0,zero
3990,Very Low,USA,M,4,E,M,Y,4,1.0,2,C,PB,C,F,1.0,Bachelors (4 years),No,N,40.0,zero
3991,Low,USA,M,3,E,DBAP,N,2,2.0,1,C,FG,S,M,20.0,Associates (2 years),Yes,YesExpired,40.0,zero
3992,Very Low,USA,M,19,E,A,Y,10,5.0,0,m,PB,S,M,10.0,None (no degree completed),,N,40.0,two
3993,Low,USA,MS,5,E,AN,N,3,1.0,0,C,PB,S,F,4.0,Bachelors (4 years),No,YesValid,30.0,five
3994,Very Low,USA,O,2,E,AN,N,2,1.0,6,T,E,S,M,20.0,Masters,No,N,40.0,zero
3995,Very Low,USA,M,3,E,AN,N,3,1.0,2,m,PB,SE,M,8.0,Bachelors (4 years),No,N,45.0,one
3996,Low,Canada,M,4,E,DBAG,N,3,3.0,2,c,SG,S,M,20.0,Associates (2 years),Yes,YesExpired,35.0,one
3997,Very Low,UK,M,5,E,D,N,5,1.0,0,T,PB,S,M,7.0,Bachelors (4 years),No,N,42.0,zero
3998,Mid,USA,M,21,E,E,N,38,4.0,0,T,PB,S,M,45.0,None (no degree completed),,YesValid,45.0,zero
3999,Low,USA,M,4,E,DBAD,N,4,2.0,2,m,PB,SR,M,2.0,Bachelors (4 years),No,N,40.0,one
4000,Low,USA,M,5,E,DT,N,2,4.0,1,m,PB,SE,M,4.0,Bachelors (4 years),No,YesValid,45.0,three
4001,Low,USA,M,1,E,AN,N,1,2.0,0,c,SG,S,M,4.0,Bachelors (4 years),Yes,N,40.0,four
4002,Mid,USA,M,18,E,DT,N,9,2.0,1,c,PB,SR,M,6.0,None (no degree completed),,N,45.0,one
4003,High,USA,M,5,EC,AN,Y,4,3.0,4,m,PB,C,M,20.0,None (no degree completed),,N,45.0,zero
4004,Very High,USA,RDS,1,E,M,Y,2,1.0,6,m,PB,SE,M,1.0,Masters,No,N,45.0,one
4005,Very High,USA,M,12,E,D,N,15,6.0,3,m,PB,SR,M,10.0,Associates (2 years),Yes,N,45.0,zero
4006,High,USA,M,12,E,D,N,12,5.0,0,C,PB,S,M,5.0,Bachelors (4 years),Yes,YesValid,40.0,zero
4007,Low,UK,M,7,E,M,Y,3,1.0,0,m,NP,C,M,2.0,Bachelors (4 years),No,N,35.0,zero
4008,High,USA,O,10,EC,DA,Y,5,4.0,3,C,PB,S,M,20.0,Bachelors (4 years),Yes,YesValid,30.0,five
4009,Low,USA,P,2,E,DBAD,N,1,1.0,0,T,PB,S,M,1.0,Bachelors (4 years),Yes,N,45.0,zero
4010,High,Canada,P,5,E,DA,Y,8,2.0,0,C,PB,S,M,20.0,None (no degree completed),,N,40.0,one
4011,Very High,USA,,3,EC,E,Y,5,3.0,1,m,PB,S,M,10000.0,Masters,Yes,YesValid,45.0,two
4012,Very High,USA,M,16,E,M,Y,3,2.0,0,C,PB,S,M,10.0,Bachelors (4 years),Yes,N,40.0,four
4013,High,USA,M,12,E,DBAD,Y,4,1.0,1,m,PB,SR,M,50.0,Bachelors (4 years),Yes,N,50.0,zero
4014,Mid,USA,M,17,E,DBAD,N,17,3.0,2,C,PB,S,M,15.0,None (no degree completed),,YesExpired,40.0,one
4015,Very Low,USA,M,2,E,AN,N,2,1.0,5,m,NP,SE,M,8.0,Bachelors (4 years),No,N,40.0,two
4016,Mid,USA,M,5,E,M,Y,1,1.0,0,m,PB,S,M,2.0,Bachelors (4 years),No,N,50.0,zero
4017,Low,USA,M,10,E,,N,2,1.0,1,T,PB,S,M,300.0,Masters,No,YesValid,40.0,five
4018,Very High,USA,M,15,E,DT,N,2,5.0,6,m,PB,S,M,10.0,None (no degree completed),,N,42.0,two
4019,Mid,USA,M,8,E,DBAG,N,5,2.0,4,C,NP,S,M,400.0,Associates (2 years),Yes,YesValid,45.0,two
4020,Mid,USA,M,4,E,DT,N,3,2.0,6,m,PB,SR,M,30.0,Bachelors (4 years),No,N,40.0,three
4021,Mid,USA,M,8,E,D,N,10,3.0,5,m,SG,SE,M,100.0,Associates (2 years),Yes,N,45.0,three
4022,Very High,USA,MS,9,E,DA,N,5,3.0,1,C,PB,S,M,6.0,Bachelors (4 years),Yes,N,55.0,zero
4023,Low,Canada,M,5,EC,M,Y,2,1.0,0,C,PB,S,M,3.0,Bachelors (4 years),No,N,45.0,zero
4024,Mid,USA,M,4,E,DT,N,3,2.0,0,C,PB,S,M,8.0,Associates (2 years),Yes,N,40.0,one
4025,Very Low,Australia,M,3,E,AN,N,5,2.0,1,m,PB,SE,M,3.0,Bachelors (4 years),Yes,N,45.0,zero
4026,Mid,USA,M,5,P,E,N,5,3.0,3,C,PB,S,M,2.0,Bachelors (4 years),Yes,N,40.0,zero
4027,Very Low,USA,M,1,E,AN,N,1,1.0,0,m,NP,SE,M,3.0,Bachelors (4 years),Yes,N,45.0,three
4028,High,USA,O,15,E,DBAG,Y,6,2.0,6,T,FG,S,M,1200.0,Associates (2 years),Yes,N,40.0,two
4029,Very Low,USA,M,4,E,DT,N,2,1.0,0,T,PB,S,M,2.0,Bachelors (4 years),No,YesValid,45.0,zero
4030,Very High,USA,M,25,E,A,N,5,4.0,1,m,PB,S,M,50.0,Masters,Yes,YesValid,40.0,two
4031,Very High,USA,M,11,E,DT,N,1,4.0,4,C,PB,S,M,50.0,Masters,Yes,N,42.0,zero
4032,Very High,USA,M,22,E,DA,Y,22,1.0,0,m,SG,SE,M,2.0,Bachelors (4 years),No,YesExpired,37.0,zero
4033,High,USA,M,7,E,DT,N,7,1.0,1,c,PB,S,M,5.0,None (no degree completed),,N,40.0,four
4034,Low,USA,M,6,E,M,Y,2,1.0,0,m,PB,SE,M,10.0,Associates (2 years),Yes,N,40.0,five
4035,Mid,USA,M,11,E,DBAG,N,7,2.0,0,m,PB,S,M,7.0,Bachelors (4 years),Yes,N,50.0,five
4036,Very High,UK,M,7,IC,DBAG,N,3,2.0,0,T,PB,S,M,10.0,Bachelors (4 years),Yes,N,30.0,five
4037,Very Low,USA,M,4,E,AN,N,2,1.0,1,c,PB,S,M,6.0,None (no degree completed),,YesValid,45.0,two
4038,High,USA,M,19,E,DBAG,N,22,2.0,2,m,PB,S,M,75.0,Associates (2 years),Yes,N,50.0,five
4039,Low,USA,M,8,E,DBAG,N,8,1.0,0,C,E,S,M,20.0,None (no degree completed),,YesValid,40.0,zero
4040,Mid,USA,M,6,E,AN,N,5,3.0,6,C,PB,S,F,12.0,Bachelors (4 years),No,YesValid,40.0,five
4041,Very Low,USA,M,1,E,DBAP,N,1,1.0,4,m,PB,S,M,160.0,Bachelors (4 years),Yes,N,40.0,zero
4042,Very High,USA,M,11,E,A,Y,3,2.0,0,C,PB,,M,9.0,Bachelors (4 years),Yes,YesValid,40.0,one
4043,Mid,USA,M,4,E,DBAG,N,4,1.0,0,c,PB,S,M,100.0,Bachelors (4 years),Yes,N,42.0,zero
4044,High,USA,M,7,E,E,N,6,3.0,0,m,PB,SE,M,3.0,Bachelors (4 years),No,N,40.0,five
4045,Mid,USA,M,3,E,D,N,3,1.0,3,c,PB,SE,M,6.0,Bachelors (4 years),Yes,N,46.0,zero
4046,Very High,USA,M,11,E,DBAG,Y,11,3.0,0,m,PB,S,M,15.0,Bachelors (4 years),Yes,YesExpired,55.0,two
4047,Mid,USA,O,3,E,D,N,2,2.0,6,m,PB,SE,M,10.0,Bachelors (4 years),No,N,55.0,five
4048,Low,USA,M,4,E,D,N,4,1.0,6,c,NP,S,F,2.0,Associates (2 years),No,N,40.0,zero
4049,Very Low,Belgium,M,2,E,DBAD,N,2,1.0,3,c,PB,S,F,50.0,None (no degree completed),,N,38.0,one
4050,Very Low,USA,M,4,E,AN,N,4,1.0,0,c,SG,SE,M,10.0,Bachelors (4 years),Yes,N,40.0,zero
4051,High,USA,M,20,E,A,Y,22,6.0,0,T,PB,S,M,8.0,Bachelors (4 years),No,YesExpired,40.0,one
4052,Very Low,Romania,M,3,E,DBAP,N,3,1.0,2,C,PB,S,M,100.0,None (no degree completed),,YesValid,10.0,five
4053,Mid,USA,M,6,E,D,N,6,2.0,1,T,NP,S,M,5.0,None (no degree completed),,YesValid,40.0,one
4054,Mid,USA,M,19,E,DBAP,N,10,2.0,0,c,FG,S,M,20.0,None (no degree completed),,YesValid,40.0,zero
4055,Low,USA,M,2,E,AN,N,1,1.0,1,C,PB,S,M,3.0,Bachelors (4 years),No,N,40.0,zero
4056,Very Low,Russia,M,6,E,DT,N,7,2.0,1,m,PB,SE,M,7.0,Bachelors (4 years),No,N,45.0,zero
4057,High,USA,M,7,E,D,N,7,2.0,0,m,NP,S,M,3.0,Doctorate/PhD,Yes,N,38.0,five
4058,Low,Canada,M,13,E,A,N,10,4.0,0,C,PB,SE,M,20.0,None (no degree completed),,N,45.0,zero
4059,Mid,USA,M,6,E,DT,N,1,1.0,1,C,PB,S,M,4.0,Bachelors (4 years),Yes,N,35.0,zero
4060,Very Low,UK,MS,1,E,AN,N,1,3.0,1,m,SG,SR,M,2.0,Bachelors (4 years),No,N,40.0,zero
4061,Very Low,UK,MS,1,E,AN,N,1,3.0,1,m,SG,SR,M,2.0,Bachelors (4 years),No,N,40.0,zero
4062,High,New-Zealand,M,6,E,M,Y,4,1.0,0,m,PB,S,M,5.0,Bachelors (4 years),No,N,45.0,zero
4063,High,New-Zealand,M,6,E,M,Y,4,1.0,0,m,PB,S,M,5.0,Bachelors (4 years),No,N,45.0,zero
4064,High,USA,M,18,E,DBAG,Y,18,2.0,1,C,NP,S,M,70.0,Associates (2 years),No,YesExpired,50.0,one
4065,Low,USA,M,5,E,AN,N,6,1.0,0,m,LG,SE,M,3.0,Masters,Yes,YesValid,40.0,one
4066,Very High,USA,M,10,E,M,Y,7,2.0,0,m,SG,S,M,4.0,None (no degree completed),,YesExpired,45.0,one
4067,Low,UK,M,20,E,DA,N,15,4.0,6,m,PB,SR,M,20.0,None (no degree completed),,YesExpired,35.0,two
4068,Low,Australia,M,13,E,DBAG,N,13,1.0,0,m,PB,SE,M,20.0,Masters,No,N,40.0,three
4069,Very Low,UK,M,10,E,DBAD,N,1,1.0,1,C,PB,SR,M,30.0,None (no degree completed),,N,40.0,zero
4070,Low,Ireland,RDS,1,E,AN,N,3,2.0,3,c,PB,S,M,1.0,None (no degree completed),,YesExpired,40.0,zero
4071,Low,USA,,1,EC,AN,N,1,1.0,6,C,PB,S,M,3.0,Masters,No,N,40.0,one
4072,Mid,Denmark,M,7,IC,A,N,7,2.0,5,C,PB,S,M,3000.0,Bachelors (4 years),,YesValid,70.0,two
4073,High,Canada,M,5,E,A,Y,5,2.0,0,m,NP,SE,M,15.0,Bachelors (4 years),No,N,46.0,zero
4074,Very Low,UK,O,2,E,DA,N,2,1.0,3,C,LG,S,M,2.0,None (no degree completed),,YesValid,37.0,two
4075,Very High,USA,M,19,E,AN,N,3,4.0,0,m,PB,S,M,2.0,None (no degree completed),,YesExpired,35.0,zero
4076,High,USA,M,11,E,DBAP,N,2,4.0,1,m,PB,SE,M,250.0,Bachelors (4 years),Yes,YesValid,40.0,five
4077,Very Low,Australia,M,2,E,DBAP,N,2,1.0,6,m,PB,S,M,1000.0,None (no degree completed),,YesValid,40.0,zero
4078,Mid,USA,M,4,E,DT,N,4,1.0,2,m,PB,S,M,8.0,Bachelors (4 years),No,N,45.0,zero
4079,Very High,USA,M,16,IC,DT,N,10,1.0,0,m,PB,S,M,8.0,Bachelors (4 years),Yes,N,65.0,five
4080,High,USA,M,2,EC,AN,Y,2,1.0,1,C,PB,S,M,3.0,Bachelors (4 years),No,N,60.0,one
4081,Very High,USA,M,5,E,M,Y,5,1.0,1,m,NP,S,M,5.0,Masters,No,N,35.0,one
4082,Mid,USA,M,4,E,D,N,4,1.0,0,C,PB,S,M,2.0,Bachelors (4 years),No,N,50.0,zero
4083,Very Low,UK,MA,5,EC,DBAG,N,6,1.0,1,C,PB,SE,M,0.0,None (no degree completed),No,N,37.0,zero
4084,Mid,USA,M,5,E,DBAG,N,5,2.0,0,c,PB,SR,M,5.0,Associates (2 years),,YesValid,40.0,zero
4085,Low,USA,M,7,E,M,Y,4,2.0,6,c,PB,S,M,2.0,Masters,No,N,40.0,zero
4086,High,USA,M,8,E,A,N,1,2.0,1,C,PB,S,M,6.0,Bachelors (4 years),Yes,YesValid,40.0,one
4087,Very High,USA,M,10,E,DBAP,Y,10,1.0,0,C,PB,C,F,2000.0,Bachelors (4 years),No,N,55.0,three
4088,Low,USA,M,7,E,M,Y,4,2.0,6,c,PB,S,M,2.0,Masters,No,N,40.0,zero
4089,Low,USA,O,2,E,AN,N,2,2.0,2,C,PB,S,M,4.0,Bachelors (4 years),Yes,YesValid,40.0,zero
4090,Very High,USA,O,11,E,A,N,11,4.0,6,m,PB,SE,M,30.0,Bachelors (4 years),Yes,N,55.0,zero
4091,Mid,USA,M,7,E,M,Y,7,1.0,0,C,E,S,M,6.0,Masters,Yes,YesValid,40.0,zero
4092,Very Low,USA,M,1,E,AN,N,1,1.0,6,C,PB,C,M,3.0,Bachelors (4 years),No,N,40.0,zero
4093,Very High,USA,M,13,E,DBAP,Y,8,3.0,0,C,PB,S,M,40.0,Bachelors (4 years),Yes,YesValid,35.0,zero
4094,Low,USA,M,6,E,,N,8,3.0,6,m,PB,SE,M,1000.0,Bachelors (4 years),No,N,42.0,five
4095,High,USA,M,7,E,E,N,7,2.0,2,c,PB,S,M,2.0,Bachelors (4 years),Yes,N,40.0,zero
4096,Low,USA,MS,4,E,DA,N,4,2.0,2,T,PB,SE,M,1.0,Bachelors (4 years),Yes,N,45.0,zero
4097,Very Low,USA,M,2,E,DBAG,N,2,1.0,1,T,E,S,M,8.0,Bachelors (4 years),Yes,N,45.0,zero
4098,Low,USA,M,2,E,AN,N,7,2.0,2,C,NP,SR,M,8.0,Associates (2 years),No,N,45.0,one
4099,Mid,USA,M,5,E,DBAG,N,6,2.0,2,T,PB,,M,15.0,Bachelors (4 years),Yes,N,45.0,zero
4100,Mid,USA,M,5,E,A,N,1,1.0,1,C,PB,S,F,6.0,Associates (2 years),No,N,35.0,zero
